id,equipe,adversaire,logo_adversaire,date,heure,lieu,domicile,division,score_scr,score_adv,buteurs,statut,created_at,updated_at
132,SCR 3,Neuhaeusel Fc,https://cdn-transverse.azureedge.net/phlogos/BC520938.jpg,2025-11-16,10:00:00,"STADE JEAN PIERRE 2, ROESCHWOOG",t,District 7 Alsace,2,2,"{""Kevin WILHELM"",""Kevin WILHELM""}",termine,2026-04-27 11:13:12.611774,2026-05-11 11:02:24.605749
140,SCR 3,Hinterfeld Ac,https://cdn-transverse.azureedge.net/phlogos/BC537861.jpg,2026-03-08,10:00:00,"STADE COPAINS 1, WALBOURG",f,District 7 Accession,1,2,"{""Romain SCHMITT""}",termine,2026-04-27 11:13:12.618007,2026-05-11 11:02:24.611485
166,SCR 3,Hunspach As,https://cdn-transverse.azureedge.net/phlogos/BC511367.jpg,2026-03-15,10:00:00,"STADE JEAN PIERRE 2, ROESCHWOOG",t,District 7 Accession,2,0,"{""Romain SCHMITT"",""Romain SCHMITT""}",termine,2026-05-11 10:27:13.753055,2026-05-11 11:05:29.953185
145,SCR 3,Hatten As,https://cdn-transverse.azureedge.net/phlogos/BC510304.jpg,2026-03-28,18:30:00,"STADE MUNICIPAL LÉONARD EISELE, HATTEN",f,District 7 Accession,3,5,"{""Stephan KRAUSE"",""Stephan KRAUSE"",""Nathan BLETTERER""}",termine,2026-04-27 11:13:12.621621,2026-05-11 11:02:24.614758
150,SCR 3,Mertzwiller As,https://cdn-transverse.azureedge.net/phlogos/BC504126.jpg,2026-04-12,10:00:00,"STADE JEAN PIERRE 2, ROESCHWOOG",t,District 7 Accession,5,2,"{""Stephane LAUTER"",""Stephane LAUTER"",""Erwan KNOERY"",""Erwan KNOERY"",""Romain SCHMITT""}",termine,2026-04-27 11:13:12.625417,2026-05-11 11:02:24.61825
220,SCR 3,Weitbruch Fc,https://cdn-transverse.azureedge.net/phlogos/BC504016.jpg,2026-04-19,10:00:00,"STADE JEAN PIERRE 2, ROESCHWOOG",t,District 7 Accession,5,3,"{""Kevin WILHELM"",""Romain SCHMITT"",""Romain SCHMITT"",""Dylan MARTZ"",""Stephane LAUTER""}",termine,2026-05-11 11:02:24.619609,2026-05-11 11:06:22.531711
100,SCR 3,Hunspach As,https://cdn-transverse.azureedge.net/phlogos/BC511367.jpg,2026-05-03,10:00:00,"STADE MUNICIPAL 1, HUNSPACH",f,District 7 Accession,1,8,"{""Romain SCHMITT""}",termine,2026-04-27 11:08:37.670334,2026-05-11 11:02:24.631498
156,SCR 3,Hatten As,https://cdn-transverse.azureedge.net/phlogos/BC510304.jpg,2026-05-10,10:00:00,"STADE JEAN PIERRE 2, ROESCHWOOG",t,District 7 Accession,1,2,"{""Stephan KRAUSE""}",termine,2026-04-27 11:13:12.630814,2026-05-11 11:02:24.633668
159,SCR 3,Mertzwiller As,https://cdn-transverse.azureedge.net/phlogos/BC504126.jpg,2026-05-17,10:00:00,"STADE MUNICIPAL 2, MERTZWILLER",f,District 7 Accession,1,4,"{""Yanis DUARTE""}",termine,2026-04-27 11:13:12.632771,2026-05-18 08:28:39.736198
162,SCR 3,Weitbruch Fc,https://cdn-transverse.azureedge.net/phlogos/BC504016.jpg,2026-05-31,10:00:00,"ESP. FOOTBALLISTIQUE L. SPECHT 1, WEITBRUCH",f,District 7 Accession,0,3,{},termine,2026-04-27 11:13:12.635912,2026-06-02 14:02:50.629058
165,SCR 3,Hinterfeld Ac,https://cdn-transverse.azureedge.net/phlogos/BC537861.jpg,2026-06-07,10:00:00,"STADE JEAN PIERRE 2, ROESCHWOOG",t,District 7 Accession,3,10,"{""Quentin DUARTE"",""Yanis DUARTE"",""Tom NEUHARDT""}",termine,2026-04-27 11:13:12.637922,2026-06-09 09:27:06.031044
